pdbid,release_date
124D,1993-10-31T00:00:00+0000
157D,1994-05-31T00:00:00+0000
165D,1994-08-31T00:00:00+0000
176D,1994-11-01T00:00:00+0000
17RA,1999-04-20T00:00:00+0000
1A1T,1998-06-17T00:00:00+0000
1A34,1998-04-29T00:00:00+0000
1A3M,1998-04-29T00:00:00+0000
1A4D,1998-04-29T00:00:00+0000
1A4T,1998-04-29T00:00:00+0000
1A51,1998-05-27T00:00:00+0000
1A60,1998-05-27T00:00:00+0000
1A9L,1998-06-17T00:00:00+0000
1A9N,1998-09-23T00:00:00+0000
1AC3,1997-06-16T00:00:00+0000
1AFX,1997-05-15T00:00:00+0000
1AJF,1997-07-07T00:00:00+0000
1AJL,1997-07-07T00:00:00+0000
1AJT,1997-08-20T00:00:00+0000
1AJU,1997-12-17T00:00:00+0000
1AKX,1997-11-19T00:00:00+0000
1AL5,1997-12-17T00:00:00+0000
1AM0,1997-07-23T00:00:00+0000
1ANR,1997-01-11T00:00:00+0000
1AQ3,1997-12-24T00:00:00+0000
1AQ4,1997-12-24T00:00:00+0000
1AQO,1998-02-04T00:00:00+0000
1ARJ,1996-11-08T00:00:00+0000
1ASY,1995-05-08T00:00:00+0000
1ASZ,1995-05-08T00:00:00+0000
1ATO,1997-11-12T00:00:00+0000
1ATV,1998-02-25T00:00:00+0000
1ATW,1998-02-25T00:00:00+0000
1AUD,1998-02-25T00:00:00+0000
1AV6,1998-02-25T00:00:00+0000
1B23,1998-12-07T00:00:00+0000
1B2M,1999-03-25T00:00:00+0000
1B36,1998-12-23T00:00:00+0000
1B7F,1999-05-03T00:00:00+0000
1BAU,1999-04-27T00:00:00+0000
1BGZ,1999-01-13T00:00:00+0000
1BIV,1996-12-23T00:00:00+0000
1BJ2,1999-02-02T00:00:00+0000
1BMV,1989-10-09T00:00:00+0000
1BN0,1999-04-27T00:00:00+0000
1BR3,1999-02-23T00:00:00+0000
1BVJ,1998-12-09T00:00:00+0000
1BYJ,1999-10-29T00:00:00+0000
1BYX,1999-10-20T00:00:00+0000
1BZ2,1999-04-27T00:00:00+0000
1BZ3,1999-04-27T00:00:00+0000
1BZT,1999-04-27T00:00:00+0000
1BZU,1999-04-27T00:00:00+0000
1C04,1999-08-31T00:00:00+0000
1C0A,1999-11-23T00:00:00+0000
1C0O,1999-08-31T00:00:00+0000
1C2Q,1999-11-29T00:00:00+0000
1C2W,2000-04-10T00:00:00+0000
1C2X,2000-04-10T00:00:00+0000
1C4L,2000-08-09T00:00:00+0000
1C9S,1999-09-15T00:00:00+0000
1CGM,1994-04-30T00:00:00+0000
1CQ5,1999-08-23T00:00:00+0000
1CQL,2000-01-14T00:00:00+0000
1CSL,2000-02-14T00:00:00+0000
1CVJ,1999-10-04T00:00:00+0000
1CWP,1995-05-22T00:00:00+0000
1CX5,1999-09-14T00:00:00+0000
1D0T,2000-05-24T00:00:00+0000
1D0U,2000-05-24T00:00:00+0000
1D4R,1999-12-02T00:00:00+0000
1D6K,1999-11-22T00:00:00+0000
1DDL,2000-10-30T00:00:00+0000
1DDY,2000-01-01T00:00:00+0000
1DFU,1999-12-02T00:00:00+0000
1DI2,1999-12-02T00:00:00+0000
1DK1,2000-04-02T00:00:00+0000
1DQF,2000-11-13T00:00:00+0000
1DQH,2000-11-13T00:00:00+0000
1DRR,1998-04-22T00:00:00+0000
1DRZ,1999-02-16T00:00:00+0000
1DUH,2000-05-08T00:00:00+0000
1DUL,2000-02-28T00:00:00+0000
1DUQ,2000-05-16T00:00:00+0000
1DV4,2000-02-02T00:00:00+0000
1DZ5,2000-03-29T00:00:00+0000
1E4P,2001-01-16T00:00:00+0000
1E7K,2001-02-19T00:00:00+0000
1E8O,2000-11-08T00:00:00+0000
1E8S,2000-11-08T00:00:00+0000
1E95,2001-08-23T00:00:00+0000
1EBQ,1997-07-07T00:00:00+0000
1EBR,1997-07-07T00:00:00+0000
1EBS,1997-07-07T00:00:00+0000
1EC6,2000-02-21T00:00:00+0000
1EFO,2000-05-29T00:00:00+0000
